,/'Untitled'/'AE_RAW_Aufnahme'_fft_mean,/'Untitled'/'AE_RAW_Futter'ecD3,/'Untitled'/'AE_RAW_Futter'_signal_variance,/'Untitled'/'AE_RAW_Futter'_signal_standarddeviation,/'Untitled'/'AE_RAW_Aufnahme'_signal_mean,/'Untitled'/'AE_RAW_Aufnahme'_fft_energy,/'Untitled'/'AE_RAW_Futter'_signal_energy,/'Untitled'/'AE_RAW_Futter'ecD1,/'Untitled'/'AE_RAW_Futter'_signal_mean,/'Untitled'/'Mz'_signal_mean
400,116.80184597183849,0.3016884090919241,0.02735351532107704,0.1653889818611779,6.833741428618101e-06,7906981635.716389,13676.758576768336,6.4516799033084915,-4.2807225988235556e-05,2.7945167300211806
401,106.10948149992167,0.2019431917691948,0.01748599473500111,0.13223462003197614,-0.00021949751279856652,7155534716.576476,8743.000765287625,3.904368038689265,-8.243525303651976e-05,2.736291270888352
402,115.53084777058214,0.3525204620865506,0.027148129248251145,0.1647668936657214,-4.954245777545303e-05,7913241162.557225,13574.064930688057,6.258753425435738,-2.476149086690224e-05,2.8174354426796406
403,106.84517586740402,0.17461906171270286,0.017694478105200726,0.13302059278623266,-0.0002398291332540933,7228843570.905604,8847.24210274275,4.062284420796816,-7.810430552471639e-05,2.7474090823351767
404,104.89432025949465,0.17443314607851945,0.017360948258709024,0.13176095119081765,-0.00012509765588687328,7016779879.430557,8680.476583307198,3.8154359693159967,-7.005644811093281e-05,2.808610000748589
405,107.13475762504271,0.20172733205954013,0.017886555539535703,0.13374062785681734,-0.00017864291617545266,7329222940.268988,8943.280163239331,4.060758400351495,-6.918770931383197e-05,2.7331419789972964
406,110.41049065816559,0.2020049122959166,0.01832314647488066,0.13536301738244705,-0.00017821004612967976,7884814073.494209,9161.576274066316,3.857438852128829,-7.793106762432798e-05,2.7318423977485926
407,96.17145579099152,0.1879090997832043,0.014980523867879113,0.12239495033651965,-0.00024994406233345794,5646358550.806897,7490.272023569643,3.623977096093976,-0.00014205370861562901,2.704070862109304
408,94.85894697060024,0.19257880789659304,0.015123988598463197,0.12297962676176567,-0.0002714886163711614,5593496567.358131,7562.003825547801,3.851019671173904,-0.00013803126382669413,2.7300789566988337
409,97.14977078950581,0.18997028820825468,0.015808777664637785,0.1257329617269783,-0.00020677482975534813,5749352850.247373,7904.395208499933,4.024807088272931,-0.00011292637914195748,2.6973325812102393
410,97.53363926111342,0.18477192285369384,0.016007997121474618,0.12652271385595007,-0.00013953645589617528,5766018009.36445,8004.004212239182,4.006151442520768,-0.00010631560107468684,2.7427029300336345
411,100.47479483199072,0.17954756531228974,0.01650613702423163,0.12847621190022546,-0.00017699684635251906,5941865349.520929,8253.072263142913,3.919553769123018,-8.66144223834116e-05,2.7533466767412915
412,104.42571123272856,0.17913617046804287,0.016952943219990666,0.1302034685405526,-0.00019037672522549586,7047615513.415881,8476.484503627127,3.913750806178189,-0.00016058411414692034,2.7202797979629434
413,115.17941484524378,0.3501533991875654,0.02754853407626009,0.1659775107544998,-6.924133425425951e-05,7979441936.346631,13774.271378255791,7.075552418296808,-9.316789839102158e-05,2.8884953398115294
414,104.61973646042395,0.17397646447828535,0.017145071607065892,0.13093919049339614,-0.00023458172003043516,7241878307.049347,8572.544232952674,3.954306424186424,-0.00012984159713208302,2.7049707899383555
415,105.69818526338852,0.18773007691982269,0.01726746278259146,0.1314057182263826,-0.00021203574283518568,7524224048.374631,8633.749618893606,3.5133763725370315,-0.0001909324416931153,2.709491363828114
416,104.31744382741456,0.22058265350164968,0.017806971942041117,0.13344276654072007,-0.00023412188829988008,7472827242.567383,8903.498405243234,4.160722235881408,-0.00015769732312784454,2.7234658493757617
417,113.75157263098858,0.21670895747656196,0.019114328694279,0.13825457928864054,-0.0002504361796360777,8108690423.608092,9557.17478222105,4.063910651364253,-0.00014446507517452463,2.8151771558576524
418,108.64793748587613,0.20916559985908614,0.01830394104891314,0.13529205833644908,-0.00037757642084867364,8187909327.707746,9152.015951885998,3.920811686081018,-0.00030142139059049936,2.7730837243857733
419,110.57296069356607,0.17552884244155142,0.01813730070887751,0.13467479611596786,-0.000439116334167288,8402296876.086655,9068.708818388675,3.717764472301704,-0.00034194722600666195,2.7670195542556524
420,112.37893775208313,0.1986694560860312,0.01846822089926141,0.13589783257749702,-0.00038834580775805896,8554063841.519747,9234.151753046115,3.846918144397497,-0.0002874140428633735,2.696236900023764
421,114.04765901869754,0.2405906602007307,0.01895476727352685,0.13767631340766956,-0.0004457945800660462,8685841106.236048,9477.430169420071,4.288425043897696,-0.00030506608315531987,2.788493109711306
422,116.76110127122436,0.2485925762795255,0.01929606233387274,0.13891026720107028,-0.0003736972465995287,8980058178.81403,9648.078951942409,4.033746443806473,-0.00030914400364352853,2.8321290576945817
423,113.09088937505206,0.2344447935916512,0.021224293364805257,0.1456855976574392,-0.0004107807438794035,8213569821.792858,10612.181019167918,3.840428277875493,-0.0002620563594501079,2.756415510080944
424,122.03846462844488,0.32102692042215764,0.02879726026468993,0.16969755527022165,-1.7368687168531015e-05,8495692071.962213,14398.63202947097,7.07487471515927,-6.15975454439035e-05,2.8319045940447114
425,114.58108559309186,0.25479530721347465,0.02177087547852915,0.14754956956402532,-0.0005178166946134288,8345683218.24655,10885.48940523935,4.321988581107217,-0.00032145287418237065,2.8257067362259973
426,117.72218350895659,0.2506879693589001,0.02223280867650797,0.14910670231920484,-0.0004539518778442714,8412788792.063297,11116.476528257284,4.541049915458473,-0.0003799736871188687,2.8115486780130614
427,117.8435013546533,0.2418912213037078,0.02205697692218431,0.14851591471012227,-0.00043974888800471566,8694048151.71318,11028.591328795908,4.4011053136015805,-0.0004535806560827701,2.821440588464226
428,115.8226478724382,0.20102590385137611,0.022493213954895848,0.1499773781438249,-0.000462155075136242,8544310697.847404,11246.70561235219,4.3480194324737775,-0.00044415066233482656,2.886085636001769
429,109.44832093375463,0.19753439936988648,0.019949188253545237,0.14124159533772349,-0.0005368878087522571,7650131531.268166,9974.715470201967,4.0848830131708365,-0.0004926325805505964,2.797532386710475
430,112.12012933533804,0.23034193853816176,0.020536211908257617,0.14330461230629535,-0.0005003506183400494,7782935140.82648,10268.199128140539,4.286583842152015,-0.00043168046328714187,2.760836478975884
431,108.20477040907406,0.21658860577691455,0.01993216528577764,0.1411813205979376,-0.0005118313145869597,7762596236.117349,9966.214405426397,4.313172045467205,-0.0005133469327125244,2.8139428794645887
432,109.3932630591972,0.2477344726642055,0.020813312000834867,0.14426819469597196,-0.0005247247042673779,7944728784.458896,10406.766039959964,4.481532126186036,-0.00046912587542493917,2.8901609566694058
433,115.41918890592056,0.2304818484500609,0.02168596652222856,0.14726155819571024,-0.0005843784404555451,8711457685.397625,10843.08062073652,4.940019281288634,-0.00044127003528188674,2.866329348187416
434,116.39295171517637,0.2384209357511084,0.018914923769344963,0.1375315373626899,-0.0005425027222945017,9046116304.223787,9457.615707034283,4.316570426575783,-0.0005546573040981902,2.8871089865963544
435,126.99032270095032,0.3653609521917994,0.030078577707470563,0.17343176671956773,-8.442121934170701e-05,10142629138.38913,15039.289170108941,8.122497374305034,-2.515453885976749e-05,2.8302469551840104
436,116.27301694759804,0.1898793041648392,0.019321415457842373,0.13900149444463672,-0.0005731021054161077,9026400225.210508,9660.860927417878,4.1955265370054535,-0.0005535313909183498,2.8882645290050606
437,116.0646308723655,0.23707986176298326,0.019712584963926614,0.1404015133961405,-0.0005925277524029769,9360290380.90676,9856.454841874403,4.823386445717853,-0.0005698419313957857,2.939993791465174
438,118.6383773581626,0.20362566213071448,0.019771158485692414,0.14060995158840078,-0.0005793011634499858,9727057580.023315,9885.756514576577,4.375129677334863,-0.0005954355197008753,2.9387990788898772
439,118.20932837132038,0.2034089953013329,0.020257459853300862,0.1423287035467578,-0.000599014908787064,9787130593.312193,10128.899460121447,4.48403103484784,-0.0005822945517225173,2.9941712643182377
440,116.84581614610448,0.1853571642797811,0.01936284254870577,0.1391504313637071,-0.0006532633404724541,8986142647.097954,9681.639891537328,4.108625239089179,-0.0006612370045067016,2.9193781331401185
