,/'Untitled'/'AE_RAW_Futter'_fft_energy,/'Untitled'/'AE_RAW_Futter'_fft_standarddeviation,/'Untitled'/'AE_RAW_Futter'_fft_variance,/'Untitled'/'AE_RAW_Aufnahme'_signal_mean,/'Untitled'/'AE_RAW_Aufnahme'_fft_kurtosis,/'Untitled'/'AE_RAW_Aufnahme'_fft_skewness,/'Untitled'/'AE_RAW_Futter'_signal_mean,/'Untitled'/'AE_RAW_Futter'_signal_variance,/'Untitled'/'AE_RAW_Futter'ecD1,Reihenfolge
415,4856513453.216981,141.36521809978746,19984.124888400474,-0.00021203574283518568,307.3955050820205,9.177788358179212,-0.0001909324416931153,0.01726746278259146,3.5133763725370315,68
416,4862670657.966139,142.40549891766295,20279.32612198851,-0.00023412188829988008,325.996949918581,9.330885535209694,-0.00015769732312784454,0.017806971942041117,4.160722235881408,67
417,5360304129.979503,146.92461855275846,21586.84353687357,-0.0002504361796360777,300.85413946261724,8.880379214851411,-0.00014446507517452463,0.019114328694279,4.063910651364253,66
418,5223637815.112694,145.1702213786333,21074.393175121393,-0.00037757642084867364,259.8820961745154,8.6062731102014,-0.00030142139059049936,0.01830394104891314,3.920811686081018,65
419,5243347421.842567,144.77987499972338,20961.212204935524,-0.000439116334167288,261.4855137934826,8.691353257530336,-0.00034194722600666195,0.01813730070887751,3.717764472301704,64
420,5330344448.130001,145.24494477868734,21096.093983763934,-0.00038834580775805896,277.07333743466586,8.739279440776983,-0.0002874140428633735,0.01846822089926141,3.846918144397497,63
421,5452156783.733521,147.05576864642237,21625.39909219009,-0.0004457945800660462,227.74642756215061,8.138913375087661,-0.00030506608315531987,0.01895476727352685,4.288425043897696,62
422,5636980267.563012,149.26413863487102,22279.78308240999,-0.0003736972465995287,284.4729311338231,8.62858237229547,-0.00030914400364352853,0.01929606233387274,4.033746443806473,61
423,6152465826.6846075,157.5883755147787,24834.0960973869,-0.0004107807438794035,280.1513454285316,8.500947390248783,-0.0002620563594501079,0.021224293364805257,3.840428277875493,60
424,7152876210.7635765,171.21219046209328,29313.61416282811,-1.7368687168531015e-05,60.15648506378145,4.9521943992520345,-6.15975454439035e-05,0.02879726026468993,7.07487471515927,6
425,6167183520.570567,156.96765290579975,24638.844058755625,-0.0005178166946134288,248.0444495413253,8.170402386448044,-0.00032145287418237065,0.02177087547852915,4.321988581107217,59
426,6382177885.601326,158.41326237950503,25094.761697717906,-0.0004539518778442714,271.1801729929143,8.391050695817652,-0.0003799736871188687,0.02223280867650797,4.541049915458473,58
427,6290756856.5732355,157.74913871325037,24884.79076477231,-0.00043974888800471566,271.1302955961834,8.415599559568797,-0.0004535806560827701,0.02205697692218431,4.4011053136015805,57
428,6407033229.746718,160.5380985496444,25772.481085935327,-0.000462155075136242,274.2172506846503,8.339588592399371,-0.00044415066233482656,0.022493213954895848,4.3480194324737775,56
429,5656615696.767677,151.97200056040018,23095.488954330278,-0.0005368878087522571,323.075097065938,9.13192692342051,-0.0004926325805505964,0.019949188253545237,4.0848830131708365,55
430,5715091894.422639,151.59189696991618,22980.10322693768,-0.0005003506183400494,283.6963410561322,8.661670857112995,-0.00043168046328714187,0.020536211908257617,4.286583842152015,54
431,5548361806.251665,151.1551889784529,22847.89115511181,-0.0005118313145869597,314.7551555107284,9.107234220382004,-0.0005133469327125244,0.01993216528577764,4.313172045467205,53
432,5708282786.831511,153.27883481442737,23494.40120206851,-0.0005247247042673779,329.30194086914,9.19697911606357,-0.00046912587542493917,0.020813312000834867,4.481532126186036,52
433,5886111601.933435,154.16081243465396,23765.55609051256,-0.0005843784404555451,277.1824757920846,8.592356094585426,-0.00044127003528188674,0.02168596652222856,4.940019281288634,51
434,5217712667.652606,143.47521743680218,20585.138018537662,-0.0005425027222945017,241.106710848728,8.222545472993236,-0.0005546573040981902,0.018914923769344963,4.316570426575783,50
435,6621436479.111156,164.0413177624249,26909.553933232866,-8.442121934170701e-05,53.23447680411943,4.982762165868787,-2.515453885976749e-05,0.030078577707470563,8.122497374305034,5
