,/'Untitled'/'AE_RAW_Futter'ecD2,/'Untitled'/'AE_RAW_Futter'ecD1,/'Untitled'/'AE_RAW_Aufnahme'_fft_autocorrelation,/'Untitled'/'AE_RAW_Futter'_signal_autocorrelation,/'Untitled'/'AE_RAW_Aufnahme'ecD2,/'Untitled'/'AE_RAW_Aufnahme'_fft_skewness,/'Untitled'/'AE_RAW_Aufnahme'_signal_mean,/'Untitled'/'AE_RAW_Futter'_signal_mean,/'Untitled'/'AE_RAW_Futter'_fft_kurtosis,Reihenfolge
41,0.2248111421059336,1.4830012147527367,0.5096536258704354,0.8359257265338971,0.6639094370153193,44.827395805597455,-2.526908204549906e-05,-0.00011962757473603808,20.456446604996763,44
42,0.2610320519899213,1.7359300799936788,0.5143956238883384,0.8280297268558787,0.5691974209110069,44.684456420548365,-2.726452561873569e-05,-7.017437519191024e-05,22.18189457346075,43
43,0.25564948743936355,1.5556489827919493,0.5331875204504036,0.8452464869791787,0.5096905106780684,40.863081403161715,-2.5623348701289765e-05,-0.00013465874970389826,21.29306588401472,42
44,0.2792571822350832,1.6806552133515416,0.5143919312058051,0.8115140092886288,0.5957913022098205,43.100789255997206,-1.4359867045453549e-05,-8.972089666395004e-05,21.12388547328924,41
45,0.2714107339227472,1.448972638272604,0.5007547090464569,0.8221126498557595,0.5822942343160344,46.50029382865448,2.0061319104158746e-05,-0.00012878698810800645,21.349152502604486,40
46,0.2748529816284121,1.9058165971030971,0.5021746346651628,0.8457863997401421,0.6219196207287095,44.238820819784735,-0.00035513831574665464,-0.000439782502728809,24.617515265842425,4
47,0.2518136415142516,1.60093321164605,0.5005282130333123,0.8306499596810698,0.6051854462361841,47.580434525681426,-7.623477961854854e-05,-0.00012096264423994363,22.78467391660898,39
48,0.23358115469684246,1.6334052185848071,0.5072808446693685,0.8311128178680468,0.5453358125651592,44.76533141784585,-2.5076217898921727e-05,-0.00014841220795995953,23.50482251116706,38
49,0.2445669291765065,1.6980564039298658,0.5107941786430112,0.8310915236193783,0.5494748698941305,47.8629588112662,-2.899254527457209e-05,-0.00010087084001987884,23.035981283872584,37
50,0.2828703138829633,1.6827375885800433,0.5139048696940396,0.8392578909427281,0.6020303366053843,46.28382593300714,-3.780482059751391e-05,-0.0001098329684120452,25.187050061522484,36
