,/'Untitled'/'AE_RAW_Aufnahme'_fft_kurtosis,/'Untitled'/'AE_RAW_Aufnahme'_fft_skewness,/'Untitled'/'AE_RAW_Aufnahme'_fft_autocorrelation,/'Untitled'/'AE_RAW_Aufnahme'_fft_standarddeviation,/'Untitled'/'AE_RAW_Aufnahme'_fft_energy,/'Untitled'/'AE_RAW_Futter'_fft_median,/'Untitled'/'AE_RAW_Aufnahme'_fft_variance,/'Untitled'/'AE_RAW_Futter'_fft_autocorrelation,/'Untitled'/'AE_RAW_Aufnahme'_fft_median,/'Untitled'/'Fz'_signal_mean
160,3844.479198771342,38.170758402395634,0.5283112888666079,165.64502016108602,6295875080.169639,36.06546447286704,27438.272704166597,0.6576923923005363,54.21867573862231,1029.3975394853057
161,1178.8050425222846,18.76929315213505,0.5658242690596469,137.58354643031714,4774156637.624165,38.796957031576454,18929.23224834324,0.6621304606948074,55.763955526995275,966.443603494828
162,3901.435343587652,38.099137596042254,0.5336461745553063,171.60922930172242,6705810520.339924,36.27935935677309,29449.727581531162,0.6432932361516869,54.67058919508978,1029.8663260666362
163,942.827579241006,16.456780801038693,0.5747647466779795,138.12329692956007,4902292275.4613285,41.77582366723108,19078.045154691416,0.6453936775685702,59.01740595142199,962.7247052117067
164,1207.6978475219198,19.02494792920279,0.569649124114593,138.02679782563277,4691178449.84359,36.63308753878797,19051.396917998107,0.6605271657553533,52.54025674215343,960.7832668990374
165,1227.451664075747,18.92745237156144,0.5720141134459852,140.65056526504065,4830893656.066104,36.397192898298826,19782.58150937545,0.6612775012375175,52.30244251509076,950.7330179900008
166,1108.393297587069,17.89971852789705,0.5881456450160722,148.31644509216918,5399114918.126796,39.12415807288093,21997.767884778434,0.6522712607500708,56.06241672937154,968.7801715619439
167,1043.8019374092064,17.29483463498605,0.5864981217133522,150.08484550851483,5445489815.3216715,37.13377690133173,22525.460851314772,0.6629826001568497,53.981044012113884,960.4258508564274
168,781.91437116232,14.855295202436366,0.5990474795611508,153.3069348483003,5715500030.6045885,37.765484560000296,23503.016272581,0.6708030977179267,55.22581894011444,956.0852918211176
169,924.7145534391386,16.453809030163224,0.5988669107761161,152.41354260543704,5493390466.282694,34.54236715467742,23229.887969539373,0.6677132023643815,50.506107281099005,957.9646412059973
170,816.3036212639305,15.33153993621376,0.6053110152423172,153.06109857038518,5636142964.284827,37.165414394779674,23427.69989557317,0.6712238487284611,54.2077294461673,954.9162805781571
171,597.090997144729,13.480778566886578,0.6150551680485777,163.9431737749884,6433847353.754394,40.29151385326507,26877.36422741604,0.6636221127937201,57.18075131891192,956.9234881305333
172,1172.176114982356,18.51382789939163,0.574306155764029,146.8895670045321,5219273745.602763,34.78025851701429,21576.544894778915,0.6757081678292526,52.64448603281598,957.730302719519
173,3345.5175390070312,34.58459760018097,0.5458557029750879,171.05849742355292,6732979156.329639,37.805070951205344,29261.009540803654,0.6400781982101139,55.81552589633596,1028.9960777394358
174,946.8856500947822,16.537309659544093,0.5951320122046816,148.3901639557113,5311752800.879043,34.507559999928546,22019.64075880288,0.6813067072894015,51.85110420531362,959.1035396562413
