,/'Untitled'/'AE_RAW_Aufnahme'_fft_kurtosis,/'Untitled'/'AE_RAW_Aufnahme'_fft_autocorrelation,/'Untitled'/'AE_RAW_Aufnahme'_fft_skewness,/'Untitled'/'AE_RAW_Aufnahme'_fft_median,/'Untitled'/'AE_RAW_Futter'_fft_mean,/'Untitled'/'AE_RAW_Futter'_fft_skewness,/'Untitled'/'AE_RAW_Futter'_fft_kurtosis,/'Untitled'/'AE_RAW_Futter'_fft_autocorrelation,/'Untitled'/'AE_RAW_Futter'_fft_median,/'Untitled'/'Fz'_signal_mean
367,444.2743245858269,0.627001366564084,11.271896145550981,61.21827629753213,83.53175536527141,3.741055011544384,21.120274594847146,0.668109268781515,45.02194455738492,920.373779273972
368,471.5010988588107,0.6307104516490336,11.590843384923685,56.409455006960066,79.47653090097201,3.7753322615039617,21.2498821588733,0.6751730397588749,41.40997633245127,926.99866112368
369,510.89072919150453,0.6272150480728551,11.939715055694473,60.198387379655045,82.30584336161542,3.7751490880558127,21.51031024749,0.6746051880901839,44.666315645397724,929.8840088061344
370,424.2975332158292,0.6394854371777219,11.075999437437536,57.360357683760135,81.44461927149263,3.8258715704661648,22.77764976533829,0.6781092292987281,42.196704014189855,926.9207717273073
371,541.7143552714213,0.6123660589185851,12.435699199037929,57.40764707906477,72.99231129316286,4.330295047961768,30.536933216902828,0.6753608606710648,39.7107484409408,927.7706834855447
372,462.17688140842967,0.6185025947190843,11.498906597369652,65.34337855461101,80.20515806710648,4.3207520243430295,31.589371429741647,0.6703953297836693,46.30561472798903,919.552749322106
373,417.83670685877854,0.6238590785085837,11.118550424632547,61.05953965245737,76.86328749537856,4.151048950003991,28.620995884462104,0.6703816500041372,43.05688350906927,937.6971550311482
374,313.5436282141286,0.6598696948458553,9.895934534068557,61.73065076750146,82.98694031001114,4.183811635840674,28.25764324763566,0.6847905810082778,43.84036989534139,935.0076606490128
375,277.23131756451784,0.6618976379192362,9.626834939064702,65.48984004938426,87.17579229171001,4.171651011778451,29.331336552237747,0.6785104699070149,46.69673955454914,926.7062301993318
376,363.56576372896444,0.6407560296649083,10.162947782255227,63.13418257233936,79.36204534320953,4.1016055402609215,26.805243238972558,0.6740317635065555,43.75755630134214,932.3461290492007
377,241.9502680206984,0.6642715574158629,9.552335739722144,59.12648343764188,82.11607983495414,4.314034817651505,28.17284554740155,0.6894015496340508,38.885235480744775,922.4031319334675
378,363.59943430340314,0.6223544182318781,10.084613214640507,62.77466211585556,77.26997046124694,3.8382034816591855,22.641261413946328,0.6670008135657051,43.21416774409168,923.5955529955456
379,352.99796106477464,0.6290302866699216,10.074253145706797,60.270958033595974,75.65767179842034,3.792612829750265,22.658800658344965,0.6665847361127651,41.233548564467924,922.8585758031987
380,315.80958553635935,0.6463130229921427,9.61767727242097,62.62788202913994,77.60593531441509,3.710924820129933,21.2889780643663,0.6648722889687521,43.56759661231882,926.5622511695476
