,Analysis,Training Size,[Train Data] - The least error ML model,[Train Data] - RMSE (mean of cv=10),[Train Data] - STD (mean of cv=10),[Train Data] - RMSE(%) (mean of cv=10),[Test Data] - The least error ML model,[Test Data] - RMSE (cv=1),[Test Data] - RMSE(%) (cv=1)
16,2,0.35,Random Forest Regressor,23.79684825478642,5.165055188097723,2.2388525334497347,Random Forest Regressor,27.21040141889379,2.5600060773014914
17,2,0.4,Random Forest Regressor,25.69657479152257,7.112773263467756,2.4175824023842876,Random Forest Regressor,27.364424083377827,2.5744968211553294
18,2,0.45,Random Forest Regressor,26.840943645411,4.967945008955185,2.5252467905544207,Random Forest Regressor,27.673981097985827,2.6036205311097707
19,2,0.5,Random Forest Regressor,23.388738623596236,7.057597362289588,2.2004568067580035,Random Forest Regressor,27.966421264706284,2.6311338556111727
20,2,0.55,Random Forest Regressor,22.954384473574358,6.542713664738889,2.15959194605128,Random Forest Regressor,25.797729399955685,2.4270992194407244
21,2,0.6,Random Forest Regressor,23.944059755042474,6.958679055831284,2.2527024700788387,Random Forest Regressor,24.74367598670805,2.3279318789015777
22,2,0.65,Random Forest Regressor,23.638554598131833,4.700283393706121,2.223959966567107,Random Forest Regressor,23.262642641695052,2.188593458069359
23,2,0.7,Random Forest Regressor,21.259368470275515,4.9870249182476405,2.000121631638523,Random Forest Regressor,22.233692961238614,2.0917879242349007
24,2,0.75,Random Forest Regressor,22.97921341520647,5.572682572373765,2.161927899883517,Random Forest Regressor,15.011098932677209,1.4122726049879
25,2,0.8,Random Forest Regressor,20.92069855379827,6.007015695663505,1.9682589247628013,Random Forest Regressor,16.562297639695625,1.5582123159071224
26,2,0.85,Random Forest Regressor,20.7621697038823,5.790843737426058,1.9533442304529,Random Forest Regressor,14.38044981845861,1.3529399424449873
27,2,0.9,Random Forest Regressor,20.682826625001688,6.654604054087675,1.9458794833880095,Random Forest Regressor,15.96407035826434,1.501929960770375
28,3,0.25,Multi-layer Regressor,18.169843038205034,2.967511328718049,22.71230379775629,Multi-layer Regressor,19.3863679797718,24.232959974714753
29,3,0.3,Multi-layer Regressor,17.12208407921621,2.787356709590685,21.402605099020263,Multi-layer Regressor,19.021305912641186,23.776632390801485
30,3,0.35,Random Forest Regressor,18.188622330320168,2.6389822301683936,22.73577791290021,Random Forest Regressor,18.76848020103396,23.460600251292448
31,3,0.4,Multi-layer Regressor,17.594257428429266,2.7112130723509162,21.99282178553658,Multi-layer Regressor,19.18433217645552,23.9804152205694
32,3,0.45,Multi-layer Regressor,16.435734696952366,2.5230565959016533,20.544668371190458,Multi-layer Regressor,18.491527576801662,23.11440947100208
33,3,0.5,Multi-layer Regressor,16.331897578988926,2.193803878822004,20.414871973736158,Multi-layer Regressor,18.67039610862366,23.337995135779575
34,3,0.55,Multi-layer Regressor,16.33042550382463,1.9755966878101838,20.413031879780792,Multi-layer Regressor,18.574106946786788,23.217633683483484
35,3,0.6,Multi-layer Regressor,15.809015163902345,2.1651042275486,19.76126895487793,Multi-layer Regressor,18.79112593624505,23.488907420306308
36,3,0.65,Random Forest Regressor,15.612870437314902,2.134575323764239,19.516088046643628,Random Forest Regressor,18.14472520132446,22.680906501655574
37,3,0.7,Random Forest Regressor,16.24840174883559,1.7212878645898655,20.310502186044488,Random Forest Regressor,18.283568512492863,22.85446064061608
38,3,0.75,Random Forest Regressor,16.226924892963353,1.8912083828542146,20.28365611620419,Random Forest Regressor,17.604731307724578,22.005914134655722
39,3,0.8,Random Forest Regressor,15.639277618315353,1.8936521998993436,19.54909702289419,Random Forest Regressor,17.173743939980895,21.46717992497612
40,3,0.85,Random Forest Regressor,16.06721505012632,1.5853766238619336,20.0840188126579,Random Forest Regressor,16.406363872296755,20.507954840370942
41,3,0.9,Random Forest Regressor,15.567263615548285,1.5503671874438747,19.459079519435356,Random Forest Regressor,15.858015848985225,19.82251981123153
42,4,0.25,Random Forest Regressor,31.31442031893157,6.9836744042159316,2.9461199447052167,Random Forest Regressor,34.23206947954334,3.220617901115864
43,4,0.3,Random Forest Regressor,33.915366957156394,6.913904581589269,3.190821928262471,Random Forest Regressor,31.152441855050114,2.9308807041830036
44,4,0.35,Random Forest Regressor,32.22576091410874,4.623006447582324,3.031860593151702,Random Forest Regressor,33.588977535968375,3.160114593631675
