,/'Untitled'/'AE_RAW_Aufnahme'_fft_autocorrelation,/'Untitled'/'AE_RAW_Aufnahme'_fft_skewness,/'Untitled'/'AE_RAW_Futter'_fft_kurtosis,/'Untitled'/'AE_RAW_Aufnahme'_fft_standarddeviation,/'Untitled'/'AE_RAW_Aufnahme'_fft_kurtosis,/'Untitled'/'AE_RAW_Aufnahme'_fft_variance,/'Untitled'/'AE_RAW_Aufnahme'_fft_median,/'Untitled'/'AE_RAW_Futter'_fft_skewness,/'Untitled'/'AE_RAW_Aufnahme'_fft_mean,Reihenfolge
62,0.4885018442364522,47.76960646102341,22.372376278925447,175.3440083140761,5269.0963922844985,30745.521251646773,53.794968721704315,3.785133396574885,89.67302185776519,25
63,0.4836678604707071,50.61537049404765,21.03476096470353,174.85036137332952,5785.102769486194,30572.64887238392,49.983001220083246,3.728511446681295,85.81047711125794,24
64,0.4947557191318418,48.40039577389007,21.95317960165217,178.04783382269818,5410.779855266467,31701.03112895513,52.68826446358086,3.7813569710670296,89.01970542407425,23
65,0.4715364194463118,52.81737045844026,20.939813459713854,177.12514540984313,6141.155223785611,31373.31713645808,50.530810504918534,3.725107685227535,85.58277998492062,22
66,0.4898417655685024,50.367527028633184,23.368075986446115,187.59556842796826,5786.270274948643,35192.09729381252,53.14985897719699,3.836030900683984,91.00414504608592,21
67,0.4631873806285645,53.04584318688817,22.897702419013005,176.4765786405781,6208.9379432824135,31143.98280868416,49.19497268218535,3.824870802629316,85.82097133528458,20
68,0.517935427091054,40.13377641225106,22.632165756185714,188.92849636383312,4098.667092312382,35693.97673829891,50.8941789639759,3.847787075226997,91.62151906767174,2
69,0.4721609613633687,54.27436013580879,23.161648607044505,176.56877828802934,6430.998341681707,31176.53346612725,47.46550951447938,3.8082434772331086,84.01063713297084,19
70,0.4818032106546417,51.32109172935081,21.74529124320344,177.3287340332103,5892.232055355492,31445.47991382104,50.71796848600268,3.6968368518037926,87.10479560301188,18
71,0.4843518722253312,49.22955896949328,20.88896308097816,180.8331331548764,5578.655818201477,32700.622046609264,50.2036316588416,3.6523517378516837,88.27767156542751,17
72,0.5028865457949527,45.36775454719475,23.068639633004317,187.15188775593612,4923.921230056397,35025.829090610525,53.81456474329893,3.821883732109727,92.84541552991459,16
73,0.48526534741109706,48.80985191397596,18.020279848871624,175.65509184907168,5477.300566404602,30854.71129250581,51.96012574382284,3.4256831799968546,88.53218855472224,15
74,0.4849860269704863,50.93395452315746,19.764124963410328,176.93254435264194,5889.577945281115,31305.125251099613,50.74856725097143,3.5243491586089504,87.44428597857599,14
75,0.4925347812741976,46.863278680413245,19.33548575956926,178.1047571250283,5167.914080885949,31721.304510565322,49.70584634533709,3.5436691032383,87.18557173207087,13
76,0.4864874425698384,46.714069041356154,17.62829068636025,179.68017407069988,5148.380054909565,32284.964954077008,53.361153657568636,3.42520214117243,91.00956901741031,12
77,0.4809932292922485,49.85877567114632,20.46032714394353,182.31036864227548,5711.387664346407,33237.07051448238,50.154364558256205,3.6641900452991902,88.20581212265482,11
78,0.4664589845630655,51.79598541064094,21.763644295928174,179.57440479169966,6050.243057661784,32246.966856293217,49.0754006426736,3.7422546687266434,87.42114933841988,10
79,0.5330936914790176,35.283977047298066,22.407352440146425,200.4948427293544,3372.6810858766717,40198.181961068534,54.381077171674136,3.8231582532130415,99.30886451305443,1
80,0.5792607212905804,19.80346006026696,17.780850282452665,142.41668884403904,1265.3221872761874,20282.513261299824,51.14336004484197,3.459490590653649,86.3524870632296,9
81,0.4322637421119984,57.52756466063772,21.73749289391746,170.73090785668518,6988.16656465126,29149.04289756793,55.46655424516682,3.698333597142259,88.86459264292691,80
82,0.5828408581506915,18.645079538354672,15.97493579008242,143.11172061107402,1121.2403820094419,20480.964576262097,52.59532197797945,3.313550759209234,88.65007557696754,8
83,0.4317054564660217,58.79196817497851,19.89808431460019,174.0628955768789,7303.0117600993835,30297.891616607467,54.83141688547349,3.579930863946017,88.74887640432888,79
84,0.4433246164570616,52.56360860616991,20.8861134870872,169.6606028758422,6135.3038436343995,28784.720168194235,54.09460345178286,3.608337133005352,89.04432807870869,78
85,0.4385186694306894,55.58865663692927,22.75832515038764,168.66326412483357,6670.04899682456,28447.296665243368,50.33181129138121,3.733142251694345,84.14864931937012,77
