,/'Untitled'/'AE_RAW_Aufnahme'_fft_mean,/'Untitled'/'AE_RAW_Aufnahme'_fft_skewness,/'Untitled'/'AE_RAW_Futter'_fft_mean,/'Untitled'/'AE_RAW_Aufnahme'_fft_autocorrelation,/'Untitled'/'AE_RAW_Aufnahme'_fft_median,/'Untitled'/'AE_RAW_Aufnahme'_fft_energy,/'Untitled'/'AE_RAW_Futter'_fft_skewness,/'Untitled'/'AE_RAW_Futter'_fft_median,/'Untitled'/'AE_RAW_Futter'_fft_kurtosis,/'Untitled'/'Mz'_signal_mean
429,109.44832093375463,9.13192692342051,96.06263224018795,0.6333522748318068,53.74645153778614,7650131531.268166,3.869847550022131,43.04650688410482,20.87128485193722,2.797532386710475
430,112.12012933533804,8.661670857112995,98.37461431279762,0.6371588641654043,56.53843800457538,7782935140.82648,3.800853110451297,45.82959032702488,19.84838135900242,2.760836478975884
431,108.20477040907406,9.107234220382004,94.1118135625945,0.6349826691817424,51.50271601394781,7762596236.117349,3.7843515418016405,40.95098125473757,19.459134010523783,2.8139428794645887
432,109.3932630591972,9.19697911606357,95.52150323265327,0.6389674220317011,52.008371984783494,7944728784.458896,3.96227529341317,42.15629655034781,22.31850797702884,2.8901609566694058
433,115.41918890592056,8.592356094585426,99.34468958684765,0.6390501170041766,55.234999928953904,8711457685.397625,3.8088882324565088,45.311166251547725,20.438787304002076,2.866329348187416
434,116.39295171517637,8.222545472993236,96.07477785286423,0.6445633195132611,55.27766368259883,9046116304.223787,3.6409568713665816,44.95756530592327,18.337680057037907,2.8871089865963544
435,126.99032270095032,4.982762165868787,104.53337240997404,0.6762758230829874,60.40684092028604,10142629138.38913,3.8979381376624613,47.00161222763471,21.576025954343848,2.8302469551840104
436,116.27301694759804,7.477618231335933,96.86780517353279,0.6555625588004897,54.993694059674475,9026400225.210508,3.65851400762967,45.45786924827948,18.80907028093785,2.8882645290050606
437,116.0646308723655,8.271125789557027,95.53498538540424,0.6449250365896324,53.76034004828878,9360290380.90676,3.5478909548124675,44.28771777325552,17.37330472897369,2.939993791465174
438,118.6383773581626,7.6576203022112255,98.00024468676786,0.6571042221582627,55.503488070410306,9727057580.023315,3.552484475765779,45.41901181108122,17.556772633702778,2.9387990788898772
439,118.20932837132038,7.637641042346168,98.1141417194959,0.6622025252103872,53.747853207588165,9787130593.312193,3.6305683392431067,44.223884176564276,19.134222182644397,2.9941712643182377
440,116.84581614610448,8.163091339914889,96.09479958296271,0.6361065325911489,55.80005234363924,8986142647.097954,3.9885253886542182,44.561447707107185,22.71264320453522,2.9193781331401185
441,117.25016249496731,7.971501037891301,96.12704171097772,0.6456144647307017,55.9942914108625,8975642084.859476,3.9481349717026415,44.83590759561936,21.210717318391584,2.951930134924944
442,117.88868695116764,8.075965928426008,97.19601524777357,0.6464783319097828,55.8865274677854,9246244307.098705,4.091656923405283,45.26904926333577,23.779209364390024,2.9265074483725897
443,117.96676080535481,7.638382369468148,96.6369194636108,0.6555261618127062,54.1420566418435,9585068224.508266,4.054975395139463,43.411482833314025,23.15933361303556,2.972159681430817
444,125.390328238664,7.5379744517790535,102.1627850413269,0.6580136929816423,58.03090379065082,10701178768.970644,3.9660745774811437,46.92182786576097,22.201871615066587,2.8169695921283555
445,115.53944851388229,8.511355582896906,103.55300633321,0.6340815542378639,56.42587724634248,8615173350.135065,4.213738157374493,44.56156435256224,23.7938596946007,2.9054122254390533
446,127.24301849538642,4.9609519428366164,105.14900553095737,0.6725011037645059,61.365959576194456,10081216925.02785,3.929949583046697,47.96392183202305,22.085342328694853,2.8339026661918783
447,116.87473226296422,8.123773688695069,104.72592602927813,0.6352829536940622,57.08055207296402,8736002016.226368,4.223707956033591,44.988006693625834,24.273181711316376,2.8948132237484647
448,116.93959132359328,8.033305321414847,104.47100645521627,0.6356901497515921,56.40629059458935,8843640861.275265,4.260383584409073,44.27509593293861,24.90703796910921,2.9386339253505875
449,120.16119397049476,7.9859624241807134,107.73196467763096,0.6401689627329279,58.04668920475215,9425119470.574228,4.3383479123150765,46.18339816264193,26.093793361389764,2.872521147527059
450,124.08722554680986,7.809297296962005,111.5157442688567,0.6491784373088014,57.40132538108058,10418159365.088856,4.376946799585088,45.63673715334816,27.666928682842787,2.9579068919995275
451,118.39532819391857,5.402719845477061,107.2458516733997,0.6693253070653213,58.16506237939488,8595136049.398146,3.831682974975698,47.07777340635774,20.512227042640752,2.8492686711577635
452,118.91606149814012,5.601022645825808,107.1028095861537,0.6689071456347587,57.94379628597437,8811941843.921614,3.8265697443569793,47.25585314747162,20.398198456529588,2.8076135534001203
453,121.91432835875842,5.638040646739651,109.74595831151407,0.6616020601596719,60.334554053263204,9171762130.5845,3.758344721990515,49.09580849434509,19.48164293832561,2.822019281937064
454,122.97121132379543,5.660468929275131,110.45889419737692,0.6644535462934437,60.139474089529244,9421477287.549507,3.7659304535171603,48.684159278995494,19.18094506795616,2.867575636564945
455,127.18979783876719,5.178424410603168,113.48602625127701,0.6729447053428795,61.67800559441168,10096401865.635069,3.7714624899187177,48.88817851975932,19.572816292109174,2.8951907727172945
456,126.21401411417328,5.1068354569681285,105.44274036072879,0.6748270379166859,61.314935731887395,9854697278.110876,3.750857235098259,47.095567332044794,18.620607935976878,2.82683797348635
457,129.06488615548207,4.881310085111637,106.45642594545002,0.6815254993336531,60.73799306526166,10505107574.279318,4.003496972954242,47.07625168383127,23.39504638003671,2.7458772243980043
458,126.48583048360891,5.2324469520323635,105.86803157163205,0.669406835144999,62.379809364019,9795417184.724182,3.79473178872194,48.21781011982661,19.531119965830488,2.9040856959555286
459,127.27733299354112,5.04581997517945,106.35669464434766,0.6762548225395774,61.10377202918254,10057746813.778948,3.7800497854938935,47.19771867711076,18.872920270423275,2.883726139587763
460,127.76854530274055,5.0917175413943605,105.9868998011718,0.6699755215748274,61.493302320078726,10125839224.089249,3.810214989310516,46.899705246489674,19.464117210243888,2.882283977882928
461,134.64366251616562,4.7685591548044775,111.06340690847368,0.6750358444610366,66.82597260997993,10725427378.407578,3.730949774553479,51.01922432094033,18.960804419190325,3.015534983597528
462,115.32497503182077,5.493211121872048,107.75992979875194,0.6765345034965744,56.12745248817752,8109452410.974328,3.9533120516868183,46.71557648877506,21.044093609567074,2.9605100772370587
