,/'Untitled'/'AE_RAW_Aufnahme'_fft_kurtosis,/'Untitled'/'AE_RAW_Aufnahme'_fft_skewness,/'Untitled'/'AE_RAW_Futter'_fft_autocorrelation,/'Untitled'/'AE_RAW_Futter'_fft_median,/'Untitled'/'AE_RAW_Futter'_fft_kurtosis,/'Untitled'/'AE_RAW_Aufnahme'_fft_standarddeviation,/'Untitled'/'AE_RAW_Futter'_fft_mean,/'Untitled'/'AE_RAW_Aufnahme'_fft_mean,/'Untitled'/'AE_RAW_Futter'_fft_skewness,/'Untitled'/'Mz'_signal_mean
160,3844.479198771342,38.170758402395634,0.6576923923005363,36.06546447286704,19.431923185207587,165.64502016108602,62.15236015121179,92.40214459293793,3.5086414615915507,2.380557144342669
161,1178.8050425222846,18.76929315213505,0.6621304606948074,38.796957031576454,19.560946832151956,137.58354643031714,67.37489805061378,91.38743252655071,3.6423061211557077,2.473926413354005
162,3901.435343587652,38.099137596042254,0.6432932361516869,36.27935935677309,17.068060443597734,171.60922930172242,62.67793700498228,94.1763753685292,3.3415666995244937,2.3615756295266648
163,942.827579241006,16.456780801038693,0.6453936775685702,41.77582366723108,19.15561594014272,138.12329692956007,70.33228679981787,94.52541225633699,3.597081598349292,2.533069334663998
164,1207.6978475219198,19.02494792920279,0.6605271657553533,36.63308753878797,17.716024794971858,138.02679782563277,64.4218156566967,88.06439167511526,3.543305039598063,2.500986148936008
165,1227.451664075747,18.92745237156144,0.6612775012375175,36.397192898298826,18.89325671806252,140.65056526504065,64.35504288263495,88.44503997803697,3.6003476764007067,2.547469267156004
166,1108.393297587069,17.89971852789705,0.6522712607500708,39.12415807288093,16.668281232306715,148.31644509216918,68.25101775125205,94.09738233160591,3.4345330428464216,2.503733636697321
167,1043.8019374092064,17.29483463498605,0.6629826001568497,37.13377690133173,21.792147349803585,150.08484550851483,64.91489653571867,92.69101255065777,3.847631554003254,2.4900267689659916
168,781.91437116232,14.855295202436366,0.6708030977179267,37.765484560000296,20.00955223500479,153.3069348483003,66.89251054562034,95.69213082747379,3.745661423504468,2.4961371599926743
169,924.7145534391386,16.453809030163224,0.6677132023643815,34.54236715467742,22.79741693831555,152.41354260543704,62.774017824073546,90.33778110476895,3.9103806034677535,2.5031495570766675
170,816.3036212639305,15.33153993621376,0.6712238487284611,37.165414394779674,21.37711576965014,153.06109857038518,64.946808563119,93.6954178650778,3.837948609086811,2.4635597383393355
171,597.090997144729,13.480778566886578,0.6636221127937201,40.29151385326507,22.81071373737124,163.9431737749884,69.9710277918999,99.43579734702007,3.92419614627456,2.559744031907341
172,1172.176114982356,18.51382789939163,0.6757081678292526,34.78025851701429,25.079312410927788,146.8895670045321,62.29392258810171,90.8178204355591,4.136066228022865,2.3870788746053417
173,3345.5175390070312,34.58459760018097,0.6400781982101139,37.805070951205344,19.19533510373494,171.05849742355292,64.13634663675549,95.98519191414015,3.3979899713268167,2.362175005307332
174,946.8856500947822,16.537309659544093,0.6813067072894015,34.507559999928546,26.590766236304226,148.3901639557113,62.61026892100228,91.28654002139281,4.257654570664839,2.502429022961995
175,897.2291308063533,16.21811497248217,0.6754736227286474,35.627988210231855,25.830716433010913,150.74691697649118,62.8353614068748,92.25807572437573,4.201798728731822,2.4524650298426645
176,869.0858369236386,15.83765561904243,0.6850555320300851,35.06210473195955,25.95960264595397,156.66244065268776,63.79929630456819,94.02847657393087,4.258605485319229,2.508028925893333
177,837.6862209243898,15.757285778933403,0.6786869730117273,37.80282303802957,28.888233124478568,156.70061875554777,66.60517616580704,97.14653082972336,4.401526008880714,2.465768588822004
178,1086.2654200610518,17.404828603207363,0.6548481301198498,36.04848125827365,21.211696998377683,137.09752033275683,63.64323679382839,91.70002477877442,3.626164672392563,2.4475320607319992
179,1129.3466903745525,18.17891332049093,0.6632890656153311,32.799769473217864,21.121188597358888,137.75972229511714,59.68660726665642,87.78365114084299,3.64430702299407,2.470473092787328
180,1122.0234788518226,18.05270171030379,0.6599036940161681,31.926116161750144,24.29323334606868,140.202317614166,58.59774200061205,87.2542492430032,3.828389976360765,2.4910035774946735
181,1037.2784379189804,16.921798162898586,0.6601253516140531,35.548879456190036,20.94846850886401,148.02313059238105,63.663587905649756,93.84477678113056,3.587510868416816,2.4841979547513406
