,/'Untitled'/'AE_RAW_Aufnahme'_fft_energy,/'Untitled'/'AE_RAW_Aufnahme'_fft_skewness,/'Untitled'/'AE_RAW_Futter'_fft_skewness,/'Untitled'/'AE_RAW_Futter'_fft_kurtosis,/'Untitled'/'AE_RAW_Aufnahme'_fft_kurtosis,/'Untitled'/'AE_RAW_Futter'_fft_mean,/'Untitled'/'AE_RAW_Aufnahme'_fft_standarddeviation,/'Untitled'/'AE_RAW_Aufnahme'_fft_mean,/'Untitled'/'AE_RAW_Aufnahme'_fft_autocorrelation,/'Untitled'/'Fz'_signal_mean
437,9360290380.90676,8.271125789557027,3.5478909548124675,17.37330472897369,237.95730143270927,95.53498538540424,200.0409334752342,116.0646308723655,0.6449250365896324,985.4417748619452
438,9727057580.023315,7.6576203022112255,3.552484475765779,17.556772633702778,191.36713206115678,98.00024468676786,203.7354205566228,118.6383773581626,0.6571042221582627,985.6312726124933
439,9787130593.312193,7.637641042346168,3.6305683392431067,19.134222182644397,190.1923668905616,98.1141417194959,204.82435211471784,118.20932837132038,0.6622025252103872,993.8313884717501
440,8986142647.097954,8.163091339914889,3.9885253886542182,22.71264320453522,245.0323434088376,96.09479958296271,194.15571535238456,116.84581614610448,0.6361065325911489,987.1764337545433
441,8975642084.859476,7.971501037891301,3.9481349717026415,21.210717318391584,229.93530778646652,96.12704171097772,193.75701983917375,117.25016249496731,0.6456144647307017,983.910196726776
442,9246244307.098705,8.075965928426008,4.091656923405283,23.779209364390024,238.4931469402545,97.19601524777357,197.32698559441727,117.88868695116764,0.6464783319097828,986.5824520924184
443,9585068224.508266,7.638382369468148,4.054975395139463,23.15933361303556,191.2851798920097,96.6369194636108,202.1278352203222,117.96676080535481,0.6555261618127062,984.490199601564
444,10701178768.970644,7.5379744517790535,3.9660745774811437,22.201871615066587,196.05037284791962,102.1627850413269,213.13577491764886,125.390328238664,0.6580136929816423,992.1639207519188
445,8615173350.135065,8.511355582896906,4.213738157374493,23.7938596946007,275.7593087979103,103.55300633321,189.42069009978755,115.53944851388229,0.6340815542378639,984.976609324656
446,10081216925.02785,4.9609519428366164,3.929949583046697,22.085342328694853,50.8631892996005,105.14900553095737,203.50962655728284,127.24301849538642,0.6725011037645059,936.403684472196
447,8736002016.226368,8.123773688695069,4.223707956033591,24.273181711316376,246.6229788668811,104.72592602927813,190.4213971163797,116.87473226296422,0.6352829536940622,984.4686794109604
448,8843640861.275265,8.033305321414847,4.260383584409073,24.90703796910921,234.00489296464318,104.47100645521627,191.99016281291514,116.93959132359328,0.6356901497515921,988.7571742209548
449,9425119470.574228,7.9859624241807134,4.3383479123150765,26.093793361389764,225.53578815993285,107.73196467763096,198.54247155136247,120.16119397049476,0.6401689627329279,988.6186733779876
450,10418159365.088856,7.809297296962005,4.376946799585088,27.666928682842787,216.5991337056238,111.5157442688567,210.0826020525602,124.08722554680986,0.6491784373088014,1005.9312631256619
451,8595136049.398146,5.402719845477061,3.831682974975698,20.512227042640752,65.13885056013329,107.2458516733997,187.3435598073024,118.39532819391857,0.6693253070653213,985.9754513361763
452,8811941843.921614,5.601022645825808,3.8265697443569793,20.398198456529588,76.11687652804251,107.1028095861537,190.29693563378345,118.91606149814012,0.6689071456347587,987.2883637423371
453,9171762130.5845,5.638040646739651,3.758344721990515,19.48164293832561,75.22298654500918,109.74595831151407,193.77039469036174,121.91432835875842,0.6616020601596719,981.1368306125283
454,9421477287.549507,5.660468929275131,3.7659304535171603,19.18094506795616,73.55629612519337,110.45889419737692,196.7615161998653,122.97121132379543,0.6644535462934437,985.5056078523843
455,10096401865.635069,5.178424410603168,3.7714624899187177,19.572816292109174,54.31031956596488,113.48602625127701,203.75593309697663,127.18979783876719,0.6729447053428795,994.0333934800252
456,9854697278.110876,5.1068354569681285,3.750857235098259,18.620607935976878,54.09363788988954,105.44274036072879,200.9541701883953,126.21401411417328,0.6748270379166859,984.6555599516155
457,10505107574.279318,4.881310085111637,4.003496972954242,23.39504638003671,49.411610145217296,106.45642594545002,208.25811220793148,129.06488615548207,0.6815254993336531,938.0516600043144
458,9795417184.724182,5.2324469520323635,3.79473178872194,19.531119965830488,59.323070473295175,105.86803157163205,199.93785827353926,126.48583048360891,0.669406835144999,992.4495909226853
459,10057746813.778948,5.04581997517945,3.7800497854938935,18.872920270423275,53.34385723900589,106.35669464434766,203.15836050217308,127.27733299354112,0.6762548225395774,987.6881518526574
460,10125839224.089249,5.0917175413943605,3.810214989310516,19.464117210243888,54.646097075574026,105.9868998011718,203.8066172983318,127.76854530274055,0.6699755215748274,994.6216556681212
461,10725427378.407578,4.7685591548044775,3.730949774553479,18.960804419190325,45.23407913965622,111.06340690847368,207.74802187331696,134.64366251616562,0.6750358444610366,991.2977046241574
462,8109452410.974328,5.493211121872048,3.9533120516868183,21.044093609567074,68.07970764247925,107.75992979875194,181.76874922994972,115.32497503182077,0.6765345034965744,980.3077694914772
463,8307709991.34516,5.531317679204742,3.981386330960455,21.470932472949073,68.94912702455116,108.98508081115558,184.12266714999797,116.4966607398831,0.6647738839409061,985.9928076485044
464,8427966045.2817,5.527922957686132,3.8613674703583882,19.568414931469206,70.55496274750723,111.61562562478865,184.3101385397846,119.12001848758972,0.6710714230327764,982.3844161801967
465,8823920482.988014,5.626340113662226,3.9129498711904023,20.375729592904836,67.28626508785953,109.97265357891676,190.70451075797345,118.55037889645664,0.6645295775079905,982.4530096953964
466,9137820131.592165,5.356289194855945,3.85471068686827,20.33604157405949,60.660503344499425,113.01558158360494,192.99873754483104,122.34215276743713,0.6731395303159323,990.1952879074786
467,9631041217.44758,5.28549351417241,3.9998225997281303,22.225830188295078,60.328334011494476,106.79816320593426,199.51423150276244,123.40418416901312,0.6772532913064845,991.3903403144652
468,10495246004.346058,4.9184625579666985,4.004258732973021,23.081812033033934,50.2495474490262,105.71121643151837,208.50792845901654,128.44173029151608,0.6814314750198379,906.381514318585
469,9589444101.563835,5.149917990174908,3.9408428835258666,21.12332002385365,53.25817999493829,107.80178050280294,198.63182759064196,123.86371747008535,0.6750922953115389,982.6513351356972
470,9939328233.600992,5.044396607742971,3.99299552376212,22.471206574097547,49.75089713110106,110.12905874893559,201.1586329563237,127.79423195905922,0.6780662381790035,984.1237381403363
