,/'Untitled'/'AE_RAW_Aufnahme'ecD1,/'Untitled'/'AE_RAW_Aufnahme'_fft_kurtosis,/'Untitled'/'AE_RAW_Aufnahme'_fft_skewness,/'Untitled'/'AE_RAW_Aufnahme'_signal_mean,/'Untitled'/'AE_RAW_Aufnahme'_fft_autocorrelation,/'Untitled'/'AE_RAW_Aufnahme'_signal_autocorrelation,/'Untitled'/'AE_RAW_Aufnahme'ecD2,/'Untitled'/'AE_RAW_Futter'_fft_skewness,/'Untitled'/'AE_RAW_Futter'ecD1,/'Untitled'/'Fz'_signal_mean
622,3.7438704267770135,141.05748534228397,8.211592838986657,1.3672882799988827e-05,0.6893295250158229,0.8056151751818729,1.1391448185816837,3.6221131846617856,3.0996208468618844,1019.6314629312526
623,3.830695080914509,136.48081516940343,8.18355988558679,3.390831836256179e-05,0.6920821679927819,0.8073644016304701,1.2319969025661002,3.6295214616205085,3.2090435249625804,1017.2650012881596
624,3.4292756161583817,154.4581291903383,8.487315398084657,-2.265388731471139e-05,0.6851699696028618,0.8003242097230773,1.234025410707547,3.68439994917915,3.350567839138745,1012.2913400727704
625,3.9054909745132784,147.6045514460981,8.53990352654932,-1.96570586132446e-06,0.6950285074444194,0.808421792833111,1.3523236437278798,3.707687160052189,2.8811567044977737,1016.1250531269567
626,3.5867025906840952,128.52700961279044,8.204822034724176,-6.0819870269322096e-05,0.7009928742790711,0.8069302767978835,1.0920890206037577,3.882681935500441,3.1642996320957897,1014.6889220624837
627,3.344205125384213,180.2166668264231,8.384778135188824,-4.2917767645290144e-05,0.6684149036574463,0.7991294526252328,0.9960604584787448,4.02337234137913,2.9917762857383257,994.2869632763742
628,5.307194193602024,138.836580582847,7.773279150502759,-2.348007853071642e-05,0.6730244678386228,0.8246848233755603,1.6120184276144365,3.7579075907517994,5.095380387817537,956.9001584098373
629,3.892457096118204,193.7097198604443,8.544221957508777,-4.574285028534423e-05,0.6732953373339291,0.8066662091913136,1.16960725090251,4.1204488284362295,3.379942514140672,1002.760525244961
630,4.016274944453587,167.7287701916959,8.21059471572441,-9.191323405348804e-06,0.6875588526297621,0.808957473998391,1.051639768596098,4.041191840923952,3.2668188768134887,992.4971259911454
631,3.465041135656409,153.07700499272337,8.027646528127708,1.4478817893332248e-05,0.6825375677813679,0.8020640197946483,1.0951199329391643,4.119034077411997,3.103134305071449,995.8808418686141
632,4.011342191076297,129.40770542378243,7.7975330847312305,3.3138154719547262e-06,0.685122389011118,0.8070371734666851,1.1033932396109802,4.1880466627038775,3.0662732792218264,998.2596723950672
633,3.781255033001505,187.44722075137088,8.942701017891109,-8.404954864538172e-05,0.6790505045660694,0.8165822467406525,1.1229119916848065,4.128602422654429,3.1411089175272324,1001.1014760433596
634,4.033273353607487,175.18056071560338,8.704285216488122,-1.1061997882646902e-05,0.685151542905852,0.8175448531507591,1.204148274836362,4.104553836196509,3.5752020819289783,1003.5252207086418
635,3.615311864123493,156.27674894966333,8.369912761428786,-9.340227456020473e-06,0.6843022266663953,0.8137608799751567,1.1207326016290668,4.157732050549146,3.303270521813181,999.8546091296789
636,3.927314470683253,147.89857326955317,8.464242830663864,-2.206990760803404e-05,0.6940371205280419,0.8138496304451556,1.353335087817322,4.164619347248108,3.505253005598705,993.0424487270152
637,4.088000591896907,127.8010824341213,8.291669587529348,1.5200065154687133e-05,0.7017795260244619,0.8104871769160406,1.063831890977964,4.07939751573944,3.500524471363584,998.6289472205327
638,4.063783071260742,188.96819880503415,8.461588564966235,1.3983835832012253e-05,0.6708890691410466,0.8132940040985956,1.135817238136107,4.386398798003855,3.5133747616684503,997.8079847199733
639,6.935668339420128,112.33015717761634,7.320935912435825,-8.59355229602662e-06,0.6869995785730192,0.8390417304211324,1.9032853416514444,3.7498315627248817,5.665487053926915,948.92754464875
640,3.4663358313687795,178.41264401353618,8.307440769756429,1.1016960333299156e-05,0.6782077762573827,0.8097957615665271,1.2156036929776242,4.292945732113955,3.0276467896211074,994.1379043200496
641,3.5702139613144084,167.10030006745575,8.271122039524537,4.908920484801739e-05,0.6773115256701934,0.8086079176369593,1.2535853654328282,4.401026327316957,3.420454604784197,1004.4360789381585
642,3.768625904963207,160.74186252938102,8.407022210240397,1.282083270399837e-05,0.677156246283606,0.8051713110903492,1.1644543291657965,4.359778021023539,3.633571793008156,991.0820776757092
643,3.74658783192924,116.93540553237958,7.6429419749826835,-1.6168264720209503e-06,0.6962926376785054,0.8098005065929437,1.1455198080138511,4.642657068347899,3.5181374798219207,1003.2429454216513
644,3.802856030894752,134.04121856469754,8.124554132520592,-1.6790601765331525e-05,0.6951124898544536,0.8061913771300534,1.2282542383993942,4.003893543241403,3.4225058717603587,993.6653699754943
645,3.88816752521308,140.91328881722444,8.342223680938519,1.444412389599871e-05,0.6941196021416239,0.8084569308235501,1.1860625718927729,4.133702148595143,3.9813467933070665,994.4348713447748
646,4.273550695550714,140.4872487284482,8.328711317954816,-3.595871205595749e-05,0.6936125528046784,0.8067230107822243,1.2278938464642644,4.002100226662431,3.848729729655248,992.9692514121604
647,4.0036354041796365,134.3444635787918,8.245120996505525,-2.639696019466719e-05,0.6871763326620512,0.8073821223348984,1.2046830500876913,4.153987674960397,4.029840883432073,1000.4010785377576
648,4.211737465428201,124.48678747028721,8.237916319511454,-8.410514523733504e-05,0.70066318691358,0.8068874416631949,1.4374130469820914,4.263439612980449,4.144886752156846,998.2904301909058
649,4.434201981567228,148.6812169966659,8.300016148157736,-1.1099924239938071e-06,0.6804001012114214,0.808322825076876,1.4587350750557693,4.4585841011631135,4.1701642955918325,981.7406492541879
650,9.826642720555677,97.05884245260731,6.9104485476513675,5.178240719277361e-07,0.6936566734381109,0.8570701423073938,3.2144463884013783,3.853311237895683,8.98686226439567,938.1661186721584
