,[Train Data] - Analysis,[Train Data] - The least error ML model,[Train Data] - RMSE (mean of cv=10),[Train Data] - STD (mean of cv=10),[Train Data] - RMSE(%) (mean of cv=10),[Test Data] - The least error ML model,[Test Data] - RMSE (cv=1),[Test Data] - RMSE(%) (cv=1)
0,1,Multi-layer Regressor,11.86307926798506,1.8205066799494534,14.828849084981327,Multi-layer Regressor,11.920895596678438,14.901119495848047
1,1,Multi-layer Regressor,11.93969033584978,1.758718758320244,14.924612919812224,Multi-layer Regressor,11.920895596678438,14.901119495848047
2,1,Multi-layer Regressor,11.685841829249558,1.7555810045446487,14.607302286561946,Multi-layer Regressor,11.920895596678438,14.901119495848047
3,2,Random Forest Regressor,21.189266334655443,6.748967263753991,1.9935262900095463,Random Forest Regressor,17.459647606321255,1.642636699533922
4,2,Random Forest Regressor,22.23936145911282,5.696056274335257,2.0923212272458978,Random Forest Regressor,17.459647606321255,1.642636699533922
5,2,Random Forest Regressor,21.25295229337231,6.608599920252764,1.9995179855690517,Random Forest Regressor,17.459647606321255,1.642636699533922
6,3,Random Forest Regressor,15.649600644527112,2.1014371578410507,19.56200080565889,Random Forest Regressor,17.02788238818774,21.284852985234675
7,3,Random Forest Regressor,15.700747744020722,1.2929249375013392,19.625934680025903,Random Forest Regressor,17.02788238818774,21.284852985234675
8,3,Random Forest Regressor,15.937809669541162,1.8582228521491724,19.92226208692645,Random Forest Regressor,17.02788238818774,21.284852985234675
9,4,Random Forest Regressor,26.780611032901987,4.377980462955441,2.519570584154345,Random Forest Regressor,25.618652108158358,2.4102512888185204
10,4,Random Forest Regressor,27.681250519404937,3.578555590682062,2.604304452038569,Random Forest Regressor,25.618652108158358,2.4102512888185204
11,4,Random Forest Regressor,25.912171277905667,3.509569086816622,2.4378661279673413,Random Forest Regressor,25.618652108158358,2.4102512888185204
12,5,Random Forest Regressor,3.8863321627802754,1.341789294567437,4.857915203475344,Random Forest Regressor,3.051741306205361,3.814676632756701
13,5,Multi-layer Regressor,3.8191250691149237,2.545600088892092,4.7739063363936545,Multi-layer Regressor,2.6066604412698364,3.2583255515872955
14,5,Multi-layer Regressor,3.758046756340484,1.9818997963502074,4.697558445425605,Multi-layer Regressor,2.6066604412698364,3.2583255515872955
15,6,Random Forest Regressor,7.476462259682914,5.527724924191783,0.7432378864985079,Random Forest Regressor,7.649903813001884,0.7604797756490694
16,6,Random Forest Regressor,7.627992821223133,5.5780464798168286,0.7583015958288432,Random Forest Regressor,7.649903813001884,0.7604797756490694
17,6,Random Forest Regressor,7.0274944486817335,5.308760842426499,0.6986058298700925,Random Forest Regressor,7.649903813001884,0.7604797756490694
18,7,Multi-layer Regressor,6.323211230757043,2.1493929686099094,7.904014038446304,Multi-layer Regressor,3.822285671474097,4.777857089342621
19,7,Multi-layer Regressor,6.588122137043877,2.229821950281348,8.235152671304846,Multi-layer Regressor,3.822285671474097,4.777857089342621
20,7,Multi-layer Regressor,6.176910073775126,2.1494348679433464,7.721137592218907,Multi-layer Regressor,3.822285671474097,4.777857089342621
