,/'Untitled'/'AE_RAW_Aufnahme'_fft_skewness,/'Untitled'/'AE_RAW_Aufnahme'_fft_autocorrelation,/'Untitled'/'AE_RAW_Aufnahme'_fft_kurtosis,/'Untitled'/'AE_RAW_Aufnahme'_fft_standarddeviation,/'Untitled'/'AE_RAW_Aufnahme'_fft_variance,/'Untitled'/'AE_RAW_Futter'_fft_autocorrelation,/'Untitled'/'AE_RAW_Aufnahme'_fft_energy,/'Untitled'/'AE_RAW_Futter'_fft_variance,/'Untitled'/'AE_RAW_Futter'_fft_standarddeviation,Reihenfolge
164,19.02494792920279,0.569649124114593,1207.6978475219198,138.02679782563277,19051.396917998107,0.6605271657553533,4691178449.84359,7092.23514165749,84.21540916992264,78
165,18.92745237156144,0.5720141134459852,1227.451664075747,140.65056526504065,19782.58150937545,0.6612775012375175,4830893656.066104,7086.035622005555,84.17859360909728,77
166,17.89971852789705,0.5881456450160722,1108.393297587069,148.31644509216918,21997.767884778434,0.6522712607500708,5399114918.126796,7635.538397028962,87.38156783343362,76
167,17.29483463498605,0.5864981217133522,1043.8019374092064,150.08484550851483,22525.460851314772,0.6629826001568497,5445489815.3216715,7261.395549947244,85.21382252866752,75
168,14.855295202436366,0.5990474795611508,781.91437116232,153.3069348483003,23503.016272581,0.6708030977179267,5715500030.6045885,7809.017469757961,88.36864528642477,74
169,16.453809030163224,0.5988669107761161,924.7145534391386,152.41354260543704,23229.887969539373,0.6677132023643815,5493390466.282694,7247.2573130092715,85.13082469358129,73
170,15.33153993621376,0.6053110152423172,816.3036212639305,153.06109857038518,23427.69989557317,0.6712238487284611,5636142964.284827,7319.800500755509,85.55583265187424,72
171,13.480778566886578,0.6150551680485777,597.090997144729,163.9431737749884,26877.36422741604,0.6636221127937201,6433847353.754394,8482.938639971917,92.10286987912978,71
172,18.51382789939163,0.574306155764029,1172.176114982356,146.8895670045321,21576.544894778915,0.6757081678292526,5219273745.602763,7350.756747398302,85.73655432426885,70
173,34.58459760018097,0.5458557029750879,3345.5175390070312,171.05849742355292,29261.009540803654,0.6400781982101139,6732979156.329639,6003.2555724384765,77.48067870403871,7
174,16.537309659544093,0.5951320122046816,946.8856500947822,148.3901639557113,22019.64075880288,0.6813067072894015,5311752800.879043,7772.836061210286,88.16368901770323,69
175,16.21811497248217,0.5961826868898977,897.2291308063533,150.74691697649118,22724.632977917114,0.6754736227286474,5466332464.999305,7501.018165801784,86.6084185619492,68
176,15.83765561904243,0.5964415431720473,869.0858369236386,156.66244065268776,24543.12031125691,0.6850555320300851,5842283075.66246,8218.520249709933,90.65605467761064,67
177,15.757285778933403,0.6035792574745903,837.6862209243898,156.70061875554777,24555.083918371518,0.6786869730117273,5948693164.8588295,8623.709260055612,92.86392873476555,66
178,17.404828603207363,0.5698486130675405,1086.2654200610518,137.09752033275683,18795.730081390677,0.6548481301198498,4760809309.518234,6501.044683119354,80.6290560723574,65
179,18.17891332049093,0.564595359766349,1129.3466903745525,137.75972229511714,18977.74108682781,0.6632890656153311,4669649336.527882,5987.408773902132,77.37834822417787,64
180,18.05270171030379,0.5763620305048773,1122.0234788518226,140.202317614166,19656.68986438348,0.6599036940161681,4772248928.185125,5988.045800394369,77.3824644244054,63
181,16.921798162898586,0.5800680436683903,1037.2784379189804,148.02313059238105,21910.847190369084,0.6601253516140531,5375595630.907125,6628.546886601189,81.41588841621265,62
182,17.02451236547565,0.5845613279443547,1053.14151350447,152.5584227796689,23274.072361020186,0.6571183087890037,5714979200.062036,6809.390320844387,82.51903005273624,61
183,18.56969902233136,0.5662255633882752,1193.6514640668765,141.19581306660382,19936.25762753933,0.6643599826601624,4911712710.005918,7039.374327745791,83.90097930147057,60
184,38.40573415320333,0.5383672011168862,3901.824476143731,176.20040791315094,31046.583748760786,0.6562160243176917,6934380871.238703,6102.242858956328,78.11685387262041,6
185,18.072353722992503,0.5810571417769905,1151.1813445270602,142.0981898230876,20191.895550998244,0.6631461741172529,4986025058.013989,7023.862640094781,83.80848787619772,59
186,18.751722295754103,0.5656372922953781,1206.7901179555115,144.10354370595525,20765.83130861416,0.659408664196485,5119074221.572972,6856.613228270333,82.80466912119348,58
187,18.293191009510373,0.5821063721627769,1141.1387116110345,142.01936987388578,20169.501419375578,0.6673919631592291,4869767536.709303,6619.220907325783,81.35859455107236,57
188,17.139358482620413,0.5899971619205312,1018.7598717596848,148.98863737136568,22197.614065776303,0.6666468011312582,5363488488.820719,7207.222938400902,84.89536464613897,56
189,19.33534079113224,0.5549964773072916,1276.0026485105616,138.04807555598853,19057.271164711918,0.6607666707630523,4825583053.21862,6779.15224893651,82.33560741827627,55
190,18.89122086374368,0.5568384326990247,1237.800656403578,135.15337640119603,18266.43515264337,0.6495417206077491,4609945563.425347,5975.597532911063,77.30198919116549,54
191,18.59223285568552,0.5489555539238536,1182.6024812373971,134.39829207553126,18062.90091281981,0.6404889532890078,4641550288.427135,6051.853490869576,77.79365970867791,53
192,18.77471609165244,0.5571520867813888,1213.0326143420148,138.40077583826306,19154.77475263314,0.6416211974685411,4862376617.0566435,6307.507713290815,79.41981939850291,52
193,18.571643914340466,0.5731755875169863,1212.3690721349506,137.1716674174734,18816.066342089933,0.6581628997754522,4727594083.058109,6174.827263990672,78.58006912691455,51
194,17.045695212369694,0.5758243023878714,1020.9205836621887,142.98623787778726,20445.064222443158,0.6567037534139547,5068960082.886877,6395.529675660058,79.97205559231335,50
195,30.111726720341807,0.5597223396045264,2656.381299036134,185.4894297226577,34406.328538836766,0.665172385251433,7809490880.426559,8352.247645539497,91.39063215417377,5
196,16.328033119907058,0.5748579637077307,925.3369542020504,144.43351629013202,20861.04062793183,0.6595930709450277,5226802787.476492,6636.05800701822,81.46200345571069,49
197,16.91325486897033,0.5615124376305093,996.0272135000718,144.82281137040832,20973.64669322887,0.6522009367887509,5224524514.2077465,6551.6533081847865,80.94228380880284,48
198,15.990085217208664,0.5832138167658742,892.8073191719618,147.34972989586583,21711.942900384613,0.6544879021909534,5348416971.954846,6476.387729545421,80.47600716701483,47
199,16.652451183585438,0.5816477108015271,973.9959521107373,150.6552773858186,22697.01260419794,0.6448559111223241,5574571171.9546,6472.3457425636125,80.4508902533938,46
200,20.490347198662626,0.5437214882764888,1386.182154657485,136.01613843060164,18500.389913572588,0.6829056575631051,4570399520.9231615,7948.378457421165,89.15367887766138,45
