,/'Untitled'/'AE_RAW_Futter'_fft_standarddeviation,/'Untitled'/'AE_RAW_Futter'_fft_energy,/'Untitled'/'AE_RAW_Futter'_fft_variance,/'Untitled'/'AE_RAW_Aufnahme'_fft_skewness,/'Untitled'/'AE_RAW_Futter'_fft_mean,/'Untitled'/'AE_RAW_Aufnahme'_fft_kurtosis,/'Untitled'/'AE_RAW_Futter'_fft_skewness,/'Untitled'/'AE_RAW_Futter'_fft_kurtosis,/'Untitled'/'AE_RAW_Aufnahme'_fft_energy,Reihenfolge
427,157.74913871325037,6290756856.5732355,24884.79076477231,8.415599559568797,105.17790296820448,271.1302955961834,3.589959252135814,17.294056018405257,8694048151.71318,57
428,160.5380985496444,6407033229.746718,25772.481085935327,8.339588592399371,104.1111779289822,274.2172506846503,3.6164916348277254,17.485207325949162,8544310697.847404,56
429,151.97200056040018,5656615696.767677,23095.488954330278,9.13192692342051,96.06263224018795,323.075097065938,3.869847550022131,20.87128485193722,7650131531.268166,55
430,151.59189696991618,5715091894.422639,22980.10322693768,8.661670857112995,98.37461431279762,283.6963410561322,3.800853110451297,19.84838135900242,7782935140.82648,54
431,151.1551889784529,5548361806.251665,22847.89115511181,9.107234220382004,94.1118135625945,314.7551555107284,3.7843515418016405,19.459134010523783,7762596236.117349,53
432,153.27883481442737,5708282786.831511,23494.40120206851,9.19697911606357,95.52150323265327,329.30194086914,3.96227529341317,22.31850797702884,7944728784.458896,52
433,154.16081243465396,5886111601.933435,23765.55609051256,8.592356094585426,99.34468958684765,277.1824757920846,3.8088882324565088,20.438787304002076,8711457685.397625,51
434,143.47521743680218,5217712667.652606,20585.138018537662,8.222545472993236,96.07477785286423,241.106710848728,3.6409568713665816,18.337680057037907,9046116304.223787,50
435,164.0413177624249,6621436479.111156,26909.553933232866,4.982762165868787,104.53337240997404,53.23447680411943,3.8979381376624613,21.576025954343848,10142629138.38913,5
436,144.90567913492362,5316679816.820917,20997.655845553443,7.477618231335933,96.86780517353279,177.94707735408596,3.65851400762967,18.80907028093785,9026400225.210508,49
437,143.0288394017277,5177231908.309057,20457.24890060521,8.271125789557027,95.53498538540424,237.95730143270927,3.5478909548124675,17.37330472897369,9360290380.90676,48
438,146.12502453904543,5417399882.160525,21352.522796536632,7.6576203022112255,98.00024468676786,191.36713206115678,3.552484475765779,17.556772633702778,9727057580.023315,47
439,148.85929380296983,5562457977.452639,22159.08935151889,7.637641042346168,98.1141417194959,190.1923668905616,3.6305683392431067,19.134222182644397,9787130593.312193,46
440,151.59389384539332,5637610852.6671715,22980.708651208373,8.163091339914889,96.09479958296271,245.0323434088376,3.9885253886542182,22.71264320453522,8986142647.097954,45
441,151.91407831655192,5655701684.302507,23077.887190767462,7.971501037891301,96.12704171097772,229.93530778646652,3.9481349717026415,21.210717318391584,8975642084.859476,44
442,154.68885420116447,5840748723.97004,23928.64161406912,8.075965928426008,97.19601524777357,238.4931469402545,4.091656923405283,23.779209364390024,9246244307.098705,43
443,156.3986200346503,5914863946.627877,24460.52834874292,7.638382369468148,96.6369194636108,191.2851798920097,4.054975395139463,23.15933361303556,9585068224.508266,42
444,161.8999692949973,6413546073.396251,26211.600057721073,7.5379744517790535,102.1627850413269,196.05037284791962,3.9660745774811437,22.201871615066587,10701178768.970644,41
445,174.1839679194416,7186073965.141212,30340.05468016105,8.511355582896906,103.55300633321,275.7593087979103,4.213738157374493,23.7938596946007,8615173350.135065,40
446,164.43024710332992,6666383417.157004,27037.306162462137,4.9609519428366164,105.14900553095737,50.8631892996005,3.929949583046697,22.085342328694853,10081216925.02785,4
447,176.67678311894772,7381885923.29117,31214.685693259697,8.123773688695069,104.72592602927813,246.6229788668811,4.223707956033591,24.273181711316376,8736002016.226368,39
448,177.32193583684722,7412520520.771237,31443.06892892696,8.033305321414847,104.47100645521627,234.00489296464318,4.260383584409073,24.90703796910921,8843640861.275265,38
449,183.30408228590062,7911148489.296244,33600.38658267622,7.9859624241807134,107.73196467763096,225.53578815993285,4.3383479123150765,26.093793361389764,9425119470.574228,37
450,192.48698524675387,8660225124.11368,37051.23948938404,7.809297296962005,111.5157442688567,216.5991337056238,4.376946799585088,27.666928682842787,10418159365.088856,36
451,170.2913819389925,7087644806.172817,28999.15476269181,5.402719845477061,107.2458516733997,65.13885056013329,3.831682974975698,20.512227042640752,8595136049.398146,35
452,170.46145932319558,7092421163.772241,29057.109114593462,5.601022645825808,107.1028095861537,76.11687652804251,3.8265697443569793,20.398198456529588,8811941843.921614,34
453,172.33671445994526,7305220740.39822,29699.943150848685,5.638040646739651,109.74595831151407,75.22298654500918,3.758344721990515,19.48164293832561,9171762130.5845,33
454,175.40745211944068,7519564774.1097145,30767.774259033882,5.660468929275131,110.45889419737692,73.55629612519337,3.7659304535171603,19.18094506795616,9421477287.549507,32
455,181.90677912172126,8044602027.830235,33090.076290438665,5.178424410603168,113.48602625127701,54.31031956596488,3.7714624899187177,19.572816292109174,10096401865.635069,31
456,166.70955972065252,6809293539.480935,27792.077302253805,5.1068354569681285,105.44274036072879,54.09363788988954,3.750857235098259,18.620607935976878,9854697278.110876,30
457,170.0531923200709,7043935297.582073,28918.088218247016,4.881310085111637,106.45642594545002,49.411610145217296,4.003496972954242,23.39504638003671,10505107574.279318,3
458,166.3632596889786,6804835499.559058,27676.734174342528,5.2324469520323635,105.86803157163205,59.323070473295175,3.79473178872194,19.531119965830488,9795417184.724182,29
459,169.82137889497147,7026433264.4555855,28839.300729789462,5.04581997517945,106.35669464434766,53.34385723900589,3.7800497854938935,18.872920270423275,10057746813.778948,28
460,169.95488397225824,7020629965.210289,28884.662586023765,5.0917175413943605,105.9868998011718,54.646097075574026,3.810214989310516,19.464117210243888,10125839224.089249,27
461,172.34272267341672,7356491522.205595,29702.014058486224,4.7685591548044775,111.06340690847368,45.23407913965622,3.730949774553479,18.960804419190325,10725427378.407578,26
462,178.6868970623881,7619711689.10288,31929.007181784502,5.493211121872048,107.75992979875194,68.07970764247925,3.9533120516868183,21.044093609567074,8109452410.974328,25
463,181.19015063067212,7823833241.871459,32829.870685565664,5.531317679204742,108.98508081115558,68.94912702455116,3.981386330960455,21.470932472949073,8307709991.34516,24
464,180.23277464290402,7864832664.341241,32483.85305547982,5.527922957686132,111.61562562478865,70.55496274750723,3.8613674703583882,19.568414931469206,8427966045.2817,23
