,/'Untitled'/'AE_RAW_Aufnahme'_signal_median,/'Untitled'/'AE_RAW_Aufnahme'_fft_skewness,/'Untitled'/'AE_RAW_Aufnahme'_fft_kurtosis,/'Untitled'/'AE_RAW_Futter'ecD3,/'Untitled'/'AE_RAW_Aufnahme'_signal_skewness,/'Untitled'/'AE_RAW_Aufnahme'ecD4,/'Untitled'/'AE_RAW_Aufnahme'ecD1,/'Untitled'/'AE_RAW_Futter'ecD1,/'Untitled'/'AE_RAW_Aufnahme'ecD3,/'Untitled'/'Mz'_signal_mean
160,0.00046421495041854005,38.170758402395634,3844.479198771342,0.1979823458641427,0.016814470052999082,0.113003592775424,4.230709372391377,3.907111202015874,0.29753959596877744,2.380557144342669
161,-0.00015206206638662678,18.76929315213505,1178.8050425222846,0.0975364608736438,0.038354366099815664,0.09122033775150766,2.4636224621265925,2.2070105566215297,0.144433783822925,2.473926413354005
162,0.00023226338270659896,38.099137596042254,3901.435343587652,0.18117711542327186,0.007018788079657134,0.10907742943367307,4.679309603380104,3.8714196988304312,0.2661356653391173,2.3615756295266648
163,-0.00029461280572817833,16.456780801038693,942.827579241006,0.09890391316676277,0.03036339320663565,0.09249713985713134,2.6605978929401948,2.2331323808974126,0.167369891213975,2.533069334663998
164,-0.0003648905613575781,19.02494792920279,1207.6978475219198,0.10711779656759554,0.04277172103793683,0.0840052567915042,2.340778293732072,1.9180604696485608,0.15040646734735602,2.500986148936008
165,-0.0004112245025409411,18.92745237156144,1227.451664075747,0.10083877670566313,0.03480119119295625,0.08356648589238314,2.3887171800582565,1.844747901764085,0.1599670953672671,2.547469267156004
166,-0.0002649890882899797,17.89971852789705,1108.393297587069,0.13063040118830682,0.038318114261146084,0.08960928985194108,2.631490065153064,2.170354694549124,0.18027306089116488,2.503733636697321
167,-0.0002842925267196872,17.29483463498605,1043.8019374092064,0.08335539893816105,0.0434550017091107,0.07498158953841029,2.3287247004684266,1.9817957132797968,0.157200785011048,2.4900267689659916
168,-0.0005628008529645623,14.855295202436366,781.91437116232,0.0872149262657766,0.04243040385067105,0.07695638255111467,2.619919879070808,1.8432021316818001,0.18384931330349316,2.4961371599926743
169,-1.0615070239916589e-05,16.453809030163224,924.7145534391386,0.0987272537448391,0.02116484051944552,0.08908165765669629,2.3490965766336904,1.8215012068054244,0.16065817654160042,2.5031495570766675
170,-0.0007001554658616628,15.33153993621376,816.3036212639305,0.11113162646332428,0.034006349257496925,0.07854039976228164,2.509065220245546,1.9217463825248904,0.17341052139180796,2.4635597383393355
171,-0.0006851019343596665,13.480778566886578,597.090997144729,0.09563277499641752,0.03766797811122685,0.08372219010289261,2.4820732565306503,2.1764821456718115,0.15406289090300385,2.559744031907341
172,-0.00024308618594925943,18.51382789939163,1172.176114982356,0.08179779035079897,0.0379704680005396,0.0705822052229238,2.1824257552463515,2.055103009323596,0.13371637201290454,2.3870788746053417
173,6.21716432213648e-05,34.58459760018097,3345.5175390070312,0.18078639924894707,0.013115438227308656,0.129575808196238,4.850593685721829,3.8572648247967054,0.3009802750489311,2.362175005307332
174,-0.0006810334705731336,16.537309659544093,946.8856500947822,0.09052150763081047,0.0449868747964882,0.0822596880783508,2.225750825151989,1.9604871393999532,0.16568141544847556,2.502429022961995
175,-0.00032148492284300717,16.21811497248217,897.2291308063533,0.09994309817616064,0.02086943754154224,0.08884541740832991,2.240559721379311,1.9601407242056332,0.1678723105613795,2.4524650298426645
176,-0.0003996005049995421,15.83765561904243,869.0858369236386,0.09256886010438753,0.03798978350953637,0.08310754501088488,2.275373730199109,1.8479916172206983,0.15974879140083445,2.508028925893333
177,-0.0007018052624045977,15.757285778933403,837.6862209243898,0.1011450815787587,0.03762600485988859,0.10206668000204286,2.2687188619378134,1.9168914178850875,0.1453313168422079,2.465768588822004
178,-0.0008259742168994499,17.404828603207363,1086.2654200610518,0.10271198248757804,0.035114539292568143,0.06822722801786471,2.3745907556368757,1.9910887851137269,0.13948520318015306,2.4475320607319992
179,-0.0003800623972349815,18.17891332049093,1129.3466903745525,0.1097912689899528,0.035597874688635234,0.0971953214251949,2.366835459321168,2.1104562618319327,0.1479989616031444,2.470473092787328
180,-0.0003237215004727733,18.05270171030379,1122.0234788518226,0.09116424061946672,0.041627132164391865,0.07747541649953348,2.2547756650293436,2.0047557101999,0.13227706271576378,2.4910035774946735
181,-0.0005320438701128527,16.921798162898586,1037.2784379189804,0.09302871553453156,0.038246975570576616,0.07171868108241004,2.4013085414991897,2.059981802764974,0.14104696486001772,2.4841979547513406
182,-0.0003910653506744577,17.02451236547565,1053.14151350447,0.10125304634254854,0.033757305037728495,0.10317974710533827,2.5155802767352182,2.216109293147269,0.16863509186701614,2.4678812434539963
183,-0.0006388630245592887,18.56969902233136,1193.6514640668765,0.08890509365769042,0.05249147660164872,0.09594800532349564,2.2635013093052034,2.098871155065225,0.13102651518660716,2.4797060249206693
184,0.0006351419317279228,38.40573415320333,3901.824476143731,0.19272446887491024,0.004944352690438128,0.15502570698586135,5.327798345840173,4.443993057660059,0.3100760450799743,2.3384506186580043
185,-0.0005991450778235485,18.072353722992503,1151.1813445270602,0.08766262362189267,0.045825754943609145,0.08887364976165485,2.2488189726349535,2.0949400900547595,0.13358642262256898,2.4401944078013376
186,-0.0003635590445283388,18.751722295754103,1206.7901179555115,0.08447646995436447,0.03537900502458628,0.0894144357098717,1.9808720151968768,1.976406546006716,0.14652141753147374,2.4616338880613267
187,-0.00043270202630640847,18.293191009510373,1141.1387116110345,0.09272610942816513,0.03438912993209154,0.08965320017136125,2.2926958220559146,2.0426270344160136,0.13959315150880586,2.517265087215999
188,-0.0007292232173798928,17.139358482620413,1018.7598717596848,0.08841694067018911,0.041001291852284696,0.07543777676069202,2.2561465600060813,1.92249829879676,0.12349163068040846,2.5853110534753263
189,-0.0006173135269111897,19.33534079113224,1276.0026485105616,0.08800976120445637,0.04452776846691777,0.08187445199063692,2.162053591144735,1.9841738915805818,0.13524776309061629,2.5288721745833267
190,-0.0005474928269866286,18.89122086374368,1237.800656403578,0.10572242844292072,0.048926920542708266,0.08549635458443369,1.7167142075254307,1.7304650637936545,0.14610408021352034,2.5146934415606625
191,-0.0008488123487335741,18.59223285568552,1182.6024812373971,0.06345317977659387,0.06693696770633953,0.07733848786665587,1.5678449671195982,1.4927633335185289,0.12197270749168256,2.4782081696973366
192,-0.0004801750511549408,18.77471609165244,1213.0326143420148,0.0860911447103701,0.04541714576216335,0.07715274190547014,1.6133646442417704,1.5863551269908551,0.1251376577197833,2.4819090118753366
193,-0.0005757940782031845,18.571643914340466,1212.3690721349506,0.08862726014619368,0.0519286509498637,0.0908032873750886,1.796508095246991,1.805102333184116,0.10917945792558056,2.494353181598668
194,-0.0008226011414942391,17.045695212369694,1020.9205836621887,0.08901587805438288,0.04845782267615036,0.07380276563359192,1.8538623821794349,1.529980361324555,0.13346875021798854,2.4934299733639977
195,6.331180433838401e-05,30.111726720341807,2656.381299036134,0.18482198358266785,0.012743600318309248,0.1332041323472033,5.331091344333837,3.6119198744926204,0.4120615774344908,2.3903801895820043
196,-0.0008896764903245646,16.328033119907058,925.3369542020504,0.07555432650564442,0.03890865129904784,0.08738707607429963,1.7332023787681765,1.4619448070781758,0.13022353206852744,2.517239423658668
197,-0.0008931642067659952,16.91325486897033,996.0272135000718,0.08283220828217694,0.05406371451220172,0.07212300695753643,1.9041325044808497,1.7156580251714837,0.1337488537741966,2.541562166344668
198,-0.0007979212109310296,15.990085217208664,892.8073191719618,0.06421271340368317,0.04131798182222478,0.0750630787149796,1.672259238840858,1.5753089539283975,0.1350026121712164,2.5019551394273347
